Latin Word,English Definition(s),Frequency,Part of Speech,Sense Heading,Senses,Core Sense
"nōlō, nōlle, nōluī",to not want,458,Verb,,to not want,1
"nōmen, nōminis, {n.}",name; renown,135,Noun,,name; renown,1
nōn,"not, doesn't",6,Adverb,,"not, doesn't",1
"nōs, nostrī / nostrum, nōbīs, nōs, nōbīs","we, us {personal {{pronoun}}, {{plural}}}",51,Pronoun,,"we, us {personal {{pronoun}}, {{plural}}}",1
"noster, nostra, nostrum",our,52,Adjective,,our,1
"novus, nova, novum",new,139,Adjective,,new,1
"nox, noctis, {f.}",night,119,Noun,,night,1
nunc,now,50,Adverb,,now,1
"nūntius, nūntiī, {m.}","messenger, message",919,Noun,,"messenger, message",1
ō,O,0,Interjection,,O,1
"occidentālis, occidentāle",western,0,,,western,1
"oculus, oculī, {m.}",eye,206,Noun,,eye,1
"odium, odiī, {n.}","hatred, dislike",522,Noun,,"hatred, dislike",1
"odor, odōris, {m.}",smell,0,Noun,,smell,1
ōlim,once upon a time,574,Adverb,,once upon a time,1
omnīnō,entirely,0,Adverb,,entirely,1
"omnis, omne",all,18,Adjective,,all,1
"parēns, parentis, {m./f.}",parent,190,Noun,,parent,1
"parō, parāre, parāvī, parātum",to prepare,160,Verb,,to prepare,1
"pars, partis, {f.}",part,65,Noun,,part,1
"parvus, parva, parvum",small,143,Adjective,,small,1
"pater, patris, {m.}",father; {in the {{plural}} *patrēs*} ancestors,71,Noun,,father; {in the {{plural}} *patrēs*} ancestors,1
"Paulus, Paulī, {m.}",Paulus,0,,,Paulus,1
"pāx, pācis, {f.}",peace,388,Noun,,peace,1
"pecūnia, pecūniae, {f.}",money,530,Noun,,money,1
"pellicula, pelliculae, {f.}","film, movie",0,,,"film, movie",1
"penna, pennae, {f.}",feather,0,Noun,,feather,1
"perpetuus, perpetua, perpetuum",unbroken,891,Adjective,,unbroken,1
"petō, petere, petīvī / petiī, petītum",to seek,83,Verb,,to seek,1
"placeō, placēre, placuī, placitum",to please,287,Verb,,to please,1
"plēnus, plēna, plēnum",full,459,Adjective,,full,1
"poēta, poētae, {m.}",poet,913,Noun,,poet,1
"pōnō, pōnere, posuī, positum",to put; to establish {of a city or walls}; to lay aside,102,Verb,,to put; to establish {of a city or walls}; to lay aside,1
"popīna, popīnae, {f.}","eating-house, tavern",0,Noun,,"eating-house, tavern",1
"possum, posse, potuī",to be able,23,Verb,,to be able,1
post,"after, behind",164,"Adverb, Preposition",,"after, behind",1
"potēns, {(gen.)} potentis",powerful,567,Adjective,,powerful,1
"pōtiō, pōtiōnis, {f.}","a drink, potion",0,,,"a drink, potion",1
"praedīlēctus, praedīlēcta, praedīlēctum",favorite,0,,,favorite,1
prīmum,first,252,"Adjective, Adverb",,first,1
"prīmus, prīma, prīmum",first,91,Adjective,,first,1
"prior, prius",former,526,Adjective,,former,1
prope,near,189,"Adverb, Preposition",,near,1
